"","Channel 1 Ave. (C)"
"2025-08-11T09:30:18-04:00","17.999"
"2025-08-11T09:31:18-04:00","17.982"
"2025-08-11T09:32:18-04:00","17.976"
"2025-08-11T09:33:18-04:00","17.978"
"2025-08-11T09:34:18-04:00","17.970"
"2025-08-11T09:35:18-04:00","17.990"
"2025-08-11T09:36:18-04:00","17.977"
"2025-08-11T09:37:18-04:00","17.966"
"2025-08-11T09:38:18-04:00","17.986"
"2025-08-11T09:39:18-04:00","18.000"
"2025-08-11T09:40:18-04:00","18.001"
"2025-08-11T09:41:18-04:00","18.005"
"2025-08-11T09:42:18-04:00","18.016"
"2025-08-11T09:43:18-04:00","18.049"
"2025-08-11T09:44:18-04:00","18.106"
"2025-08-11T09:45:18-04:00","18.169"
"2025-08-11T09:46:18-04:00","18.239"
"2025-08-11T09:47:18-04:00","18.324"
"2025-08-11T09:48:18-04:00","18.405"
"2025-08-11T09:49:18-04:00","18.492"
"2025-08-11T09:50:18-04:00","18.584"
"2025-08-11T09:51:18-04:00","18.676"
"2025-08-11T09:52:18-04:00","18.770"
"2025-08-11T09:53:18-04:00","18.867"
"2025-08-11T09:54:18-04:00","18.965"
"2025-08-11T09:55:18-04:00","19.068"
"2025-08-11T09:56:18-04:00","19.152"
"2025-08-11T09:57:18-04:00","19.247"
"2025-08-11T09:58:18-04:00","19.360"
"2025-08-11T09:59:18-04:00","19.475"
"2025-08-11T10:00:18-04:00","19.594"
"2025-08-11T10:01:18-04:00","19.705"
"2025-08-11T10:02:18-04:00","19.779"
"2025-08-11T10:03:18-04:00","19.891"
"2025-08-11T10:04:18-04:00","20.008"
"2025-08-11T10:05:18-04:00","20.114"
"2025-08-11T10:06:18-04:00","20.209"
"2025-08-11T10:07:18-04:00","20.307"
"2025-08-11T10:08:18-04:00","20.390"
"2025-08-11T10:09:18-04:00","20.512"
"2025-08-11T10:10:18-04:00","20.615"
"2025-08-11T10:11:18-04:00","20.714"
"2025-08-11T10:12:18-04:00","20.818"
"2025-08-11T10:13:18-04:00","20.920"
"2025-08-11T10:14:18-04:00","21.017"
"2025-08-11T10:15:18-04:00","21.113"
"2025-08-11T10:16:18-04:00","21.221"
"2025-08-11T10:17:18-04:00","21.308"
"2025-08-11T10:18:18-04:00","21.412"
"2025-08-11T10:19:18-04:00","21.485"
"2025-08-11T10:20:18-04:00","21.607"
"2025-08-11T10:21:18-04:00","21.709"
"2025-08-11T10:22:18-04:00","21.793"
"2025-08-11T10:23:18-04:00","21.871"
"2025-08-11T10:24:18-04:00","21.992"
"2025-08-11T10:25:18-04:00","22.099"
"2025-08-11T10:26:18-04:00","22.195"
"2025-08-11T10:27:18-04:00","22.292"
"2025-08-11T10:28:18-04:00","22.381"
"2025-08-11T10:29:18-04:00","22.471"
"2025-08-11T10:30:18-04:00","22.543"
"2025-08-11T10:31:18-04:00","22.659"
"2025-08-11T10:32:18-04:00","22.754"
"2025-08-11T10:33:18-04:00","22.863"
"2025-08-11T10:34:18-04:00","22.970"
"2025-08-11T10:35:18-04:00","23.034"
"2025-08-11T10:36:18-04:00","23.118"
"2025-08-11T10:37:18-04:00","23.208"
"2025-08-11T10:38:18-04:00","23.324"
"2025-08-11T10:39:18-04:00","23.421"
"2025-08-11T10:40:18-04:00","23.512"
"2025-08-11T10:41:18-04:00","23.629"
"2025-08-11T10:42:18-04:00","23.715"
"2025-08-11T10:43:18-04:00","23.838"
"2025-08-11T10:44:18-04:00","23.971"
"2025-08-11T10:45:18-04:00","24.072"
"2025-08-11T10:46:18-04:00","24.168"
"2025-08-11T10:47:18-04:00","24.238"
"2025-08-11T10:48:18-04:00","24.360"
"2025-08-11T10:49:18-04:00","24.442"
"2025-08-11T10:50:18-04:00","24.554"
"2025-08-11T10:51:18-04:00","24.659"
"2025-08-11T10:52:18-04:00","24.762"
"2025-08-11T10:53:18-04:00","24.858"
"2025-08-11T10:54:18-04:00","24.926"
"2025-08-11T10:55:18-04:00","25.030"
"2025-08-11T10:56:18-04:00","25.129"
"2025-08-11T10:57:18-04:00","25.237"
"2025-08-11T10:58:18-04:00","25.334"
"2025-08-11T10:59:18-04:00","25.441"
"2025-08-11T11:00:18-04:00","25.549"
"2025-08-11T11:01:18-04:00","25.622"
"2025-08-11T11:02:18-04:00","25.754"
"2025-08-11T11:03:18-04:00","25.856"
"2025-08-11T11:04:18-04:00","25.926"
"2025-08-11T11:05:18-04:00","26.038"
"2025-08-11T11:06:18-04:00","26.142"
