"","Channel 1 Ave. (C)"
"2025-08-12T10:07:03-04:00","18.384"
"2025-08-12T10:08:03-04:00","18.382"
"2025-08-12T10:09:03-04:00","18.389"
"2025-08-12T10:10:03-04:00","18.393"
"2025-08-12T10:11:03-04:00","18.395"
"2025-08-12T10:12:03-04:00","18.396"
"2025-08-12T10:13:03-04:00","18.400"
"2025-08-12T10:14:03-04:00","18.399"
"2025-08-12T10:15:03-04:00","18.400"
"2025-08-12T10:16:03-04:00","18.405"
"2025-08-12T10:17:03-04:00","18.404"
"2025-08-12T10:18:03-04:00","18.405"
"2025-08-12T10:19:03-04:00","18.410"
"2025-08-12T10:20:03-04:00","18.417"
"2025-08-12T10:21:03-04:00","18.420"
"2025-08-12T10:22:03-04:00","18.433"
"2025-08-12T10:23:03-04:00","18.434"
"2025-08-12T10:24:03-04:00","18.439"
"2025-08-12T10:25:03-04:00","18.440"
"2025-08-12T10:26:03-04:00","18.459"
"2025-08-12T10:27:03-04:00","18.477"
"2025-08-12T10:28:03-04:00","18.507"
"2025-08-12T10:29:03-04:00","18.549"
"2025-08-12T10:30:03-04:00","18.600"
"2025-08-12T10:31:03-04:00","18.665"
"2025-08-12T10:32:03-04:00","18.725"
"2025-08-12T10:33:03-04:00","18.788"
"2025-08-12T10:34:03-04:00","18.876"
"2025-08-12T10:35:03-04:00","18.961"
"2025-08-12T10:36:03-04:00","19.047"
"2025-08-12T10:37:03-04:00","19.132"
"2025-08-12T10:38:03-04:00","19.225"
"2025-08-12T10:39:03-04:00","19.322"
"2025-08-12T10:40:03-04:00","19.417"
"2025-08-12T10:41:03-04:00","19.516"
"2025-08-12T10:42:03-04:00","19.604"
"2025-08-12T10:43:03-04:00","19.694"
"2025-08-12T10:44:03-04:00","19.789"
"2025-08-12T10:45:03-04:00","19.889"
"2025-08-12T10:46:03-04:00","19.989"
"2025-08-12T10:47:03-04:00","20.083"
"2025-08-12T10:48:03-04:00","20.179"
"2025-08-12T10:49:03-04:00","20.285"
"2025-08-12T10:50:03-04:00","20.377"
"2025-08-12T10:51:03-04:00","20.476"
"2025-08-12T10:52:03-04:00","20.560"
"2025-08-12T10:53:03-04:00","20.662"
"2025-08-12T10:54:03-04:00","20.762"
"2025-08-12T10:55:03-04:00","20.862"
"2025-08-12T10:56:03-04:00","20.961"
"2025-08-12T10:57:03-04:00","21.059"
"2025-08-12T10:58:03-04:00","21.153"
"2025-08-12T10:59:03-04:00","21.262"
"2025-08-12T11:00:03-04:00","21.359"
"2025-08-12T11:01:03-04:00","21.458"
"2025-08-12T11:02:03-04:00","21.565"
"2025-08-12T11:03:03-04:00","21.676"
"2025-08-12T11:04:03-04:00","21.779"
"2025-08-12T11:05:03-04:00","21.886"
"2025-08-12T11:06:03-04:00","21.974"
"2025-08-12T11:07:03-04:00","22.075"
"2025-08-12T11:08:03-04:00","22.172"
"2025-08-12T11:09:03-04:00","22.269"
"2025-08-12T11:10:03-04:00","22.366"
"2025-08-12T11:11:03-04:00","22.467"
"2025-08-12T11:12:03-04:00","22.570"
"2025-08-12T11:13:03-04:00","22.675"
"2025-08-12T11:14:03-04:00","22.781"
"2025-08-12T11:15:03-04:00","22.884"
"2025-08-12T11:16:03-04:00","22.987"
"2025-08-12T11:17:03-04:00","23.083"
"2025-08-12T11:18:03-04:00","23.189"
"2025-08-12T11:19:03-04:00","23.283"
"2025-08-12T11:20:03-04:00","23.382"
"2025-08-12T11:21:03-04:00","23.474"
"2025-08-12T11:22:03-04:00","23.570"
"2025-08-12T11:23:03-04:00","23.669"
"2025-08-12T11:24:03-04:00","23.764"
"2025-08-12T11:25:03-04:00","23.857"
