"","Channel 1 Ave. (C)"
"2025-08-15T09:57:51-04:00","17.850"
"2025-08-15T09:58:51-04:00","17.839"
"2025-08-15T09:59:51-04:00","17.841"
"2025-08-15T10:00:51-04:00","17.846"
"2025-08-15T10:01:51-04:00","17.853"
"2025-08-15T10:02:51-04:00","17.832"
"2025-08-15T10:03:51-04:00","17.822"
"2025-08-15T10:04:51-04:00","17.788"
"2025-08-15T10:05:51-04:00","17.792"
"2025-08-15T10:06:51-04:00","17.770"
"2025-08-15T10:07:51-04:00","17.757"
"2025-08-15T10:08:51-04:00","17.744"
"2025-08-15T10:09:51-04:00","17.737"
"2025-08-15T10:10:51-04:00","17.759"
"2025-08-15T10:11:51-04:00","17.795"
"2025-08-15T10:12:51-04:00","17.830"
"2025-08-15T10:13:51-04:00","17.872"
"2025-08-15T10:14:51-04:00","17.920"
"2025-08-15T10:15:51-04:00","18.007"
"2025-08-15T10:16:51-04:00","18.102"
"2025-08-15T10:17:51-04:00","18.203"
"2025-08-15T10:18:51-04:00","18.298"
"2025-08-15T10:19:51-04:00","18.390"
"2025-08-15T10:20:51-04:00","18.487"
"2025-08-15T10:21:51-04:00","18.601"
"2025-08-15T10:22:51-04:00","18.684"
"2025-08-15T10:23:51-04:00","18.788"
"2025-08-15T10:24:51-04:00","18.899"
"2025-08-15T10:25:51-04:00","18.980"
"2025-08-15T10:26:51-04:00","19.096"
"2025-08-15T10:27:51-04:00","19.200"
"2025-08-15T10:28:51-04:00","19.307"
"2025-08-15T10:29:51-04:00","19.395"
"2025-08-15T10:30:51-04:00","19.473"
"2025-08-15T10:31:51-04:00","19.593"
"2025-08-15T10:32:51-04:00","19.681"
"2025-08-15T10:33:51-04:00","19.795"
"2025-08-15T10:34:51-04:00","19.923"
"2025-08-15T10:35:51-04:00","19.998"
"2025-08-15T10:36:51-04:00","20.137"
"2025-08-15T10:37:51-04:00","20.204"
"2025-08-15T10:38:51-04:00","20.302"
"2025-08-15T10:39:51-04:00","20.401"
"2025-08-15T10:40:51-04:00","20.503"
"2025-08-15T10:41:51-04:00","20.604"
"2025-08-15T10:42:51-04:00","20.704"
"2025-08-15T10:43:51-04:00","20.822"
"2025-08-15T10:44:51-04:00","20.917"
"2025-08-15T10:45:51-04:00","21.045"
"2025-08-15T10:46:51-04:00","21.140"
"2025-08-15T10:47:51-04:00","21.211"
"2025-08-15T10:48:51-04:00","21.337"
"2025-08-15T10:49:51-04:00","21.427"
"2025-08-15T10:50:51-04:00","21.523"
"2025-08-15T10:51:51-04:00","21.637"
"2025-08-15T10:52:51-04:00","21.714"
"2025-08-15T10:53:51-04:00","21.824"
"2025-08-15T10:54:51-04:00","21.926"
"2025-08-15T10:55:51-04:00","22.009"
"2025-08-15T10:56:51-04:00","22.118"
"2025-08-15T10:57:51-04:00","22.189"
"2025-08-15T10:58:51-04:00","22.274"
"2025-08-15T10:59:51-04:00","22.359"
"2025-08-15T11:00:51-04:00","22.425"
"2025-08-15T11:01:51-04:00","22.525"
"2025-08-15T11:02:51-04:00","22.633"
"2025-08-15T11:03:51-04:00","22.729"
"2025-08-15T11:04:51-04:00","22.836"
"2025-08-15T11:05:51-04:00","22.939"
"2025-08-15T11:06:51-04:00","23.056"
"2025-08-15T11:07:51-04:00","23.179"
"2025-08-15T11:08:51-04:00","23.290"
"2025-08-15T11:09:51-04:00","23.401"
"2025-08-15T11:10:51-04:00","23.492"
"2025-08-15T11:11:51-04:00","23.611"
"2025-08-15T11:12:51-04:00","23.685"
"2025-08-15T11:13:51-04:00","23.801"
"2025-08-15T11:14:51-04:00","23.909"
"2025-08-15T11:15:51-04:00","24.016"
"2025-08-15T11:16:51-04:00","24.136"
"2025-08-15T11:17:51-04:00","24.228"
"2025-08-15T11:18:51-04:00","24.334"
"2025-08-15T11:19:51-04:00","24.448"
"2025-08-15T11:20:51-04:00","24.532"
"2025-08-15T11:21:51-04:00","24.641"
"2025-08-15T11:22:51-04:00","24.740"
"2025-08-15T11:23:51-04:00","24.852"
"2025-08-15T11:24:51-04:00","24.941"
"2025-08-15T11:25:51-04:00","25.056"
"2025-08-15T11:26:51-04:00","25.147"
"2025-08-15T11:27:51-04:00","25.260"
"2025-08-15T11:28:51-04:00","25.362"
"2025-08-15T11:29:51-04:00","25.450"
"2025-08-15T11:30:51-04:00","25.548"
"2025-08-15T11:31:51-04:00","25.651"
"2025-08-15T11:32:51-04:00","25.750"
"2025-08-15T11:33:51-04:00","25.835"
"2025-08-15T11:34:51-04:00","25.926"
"2025-08-15T11:35:51-04:00","26.040"
"2025-08-15T11:36:51-04:00","26.136"
"2025-08-15T11:37:51-04:00","26.243"
"2025-08-15T11:38:51-04:00","26.340"
"2025-08-15T11:39:51-04:00","26.427"
"2025-08-15T11:40:51-04:00","26.534"
"2025-08-15T11:41:51-04:00","26.646"
"2025-08-15T11:42:51-04:00","26.734"
"2025-08-15T11:43:51-04:00","26.846"
"2025-08-15T11:44:51-04:00","26.950"
"2025-08-15T11:45:51-04:00","27.047"
"2025-08-15T11:46:51-04:00","27.143"
"2025-08-15T11:47:51-04:00","27.235"
"2025-08-15T11:48:51-04:00","27.342"
"2025-08-15T11:49:51-04:00","27.435"
"2025-08-15T11:50:51-04:00","27.542"
"2025-08-15T11:51:51-04:00","27.638"
"2025-08-15T11:52:51-04:00","27.737"
"2025-08-15T11:53:51-04:00","27.826"
"2025-08-15T11:54:51-04:00","27.911"
"2025-08-15T11:55:51-04:00","28.006"
"2025-08-15T11:56:51-04:00","28.117"
"2025-08-15T11:57:51-04:00","28.206"
"2025-08-15T11:58:51-04:00","28.315"
"2025-08-15T11:59:51-04:00","28.406"
"2025-08-15T12:00:51-04:00","28.519"
