,Channel 1 Ave. (C),Channel 2 Ave. (C)
2025-08-19T08:42:23-04:00,17.306,17.306
2025-08-19T08:43:23-04:00,17.271,17.271
2025-08-19T08:44:23-04:00,17.249,17.249
2025-08-19T08:45:23-04:00,17.228,17.228
2025-08-19T08:46:23-04:00,17.223,17.223
2025-08-19T08:47:23-04:00,17.218,17.218
2025-08-19T08:48:23-04:00,17.22,17.22
2025-08-19T08:49:23-04:00,17.212,17.212
2025-08-19T08:50:23-04:00,17.219,17.219
2025-08-19T08:51:23-04:00,17.221,17.221
2025-08-19T08:52:23-04:00,17.23,17.23
2025-08-19T08:53:23-04:00,17.24,17.24
2025-08-19T08:54:23-04:00,17.258,17.258
2025-08-19T08:55:23-04:00,17.306,17.306
2025-08-19T08:56:23-04:00,17.358,17.358
2025-08-19T08:57:23-04:00,17.421,17.421
2025-08-19T08:58:23-04:00,17.491,17.491
2025-08-19T08:59:23-04:00,17.574,17.574
2025-08-19T09:00:23-04:00,17.655,17.655
2025-08-19T09:01:23-04:00,17.745,17.745
2025-08-19T09:02:23-04:00,17.832,17.832
2025-08-19T09:03:23-04:00,17.92,17.92
2025-08-19T09:04:23-04:00,18.011,18.011
2025-08-19T09:05:23-04:00,18.101,18.101
2025-08-19T09:06:23-04:00,18.188,18.188
2025-08-19T09:07:23-04:00,18.292,18.292
2025-08-19T09:08:23-04:00,18.399,18.399
2025-08-19T09:09:23-04:00,18.498,18.498
2025-08-19T09:10:23-04:00,18.602,18.602
2025-08-19T09:11:23-04:00,18.701,18.701
2025-08-19T09:12:23-04:00,18.796,18.796
2025-08-19T09:13:23-04:00,18.899,18.899
2025-08-19T09:14:23-04:00,19.004,19.004
2025-08-19T09:15:23-04:00,19.105,19.105
2025-08-19T09:16:23-04:00,19.194,19.194
2025-08-19T09:17:23-04:00,19.291,19.291
2025-08-19T09:18:23-04:00,19.384,19.384
2025-08-19T09:19:23-04:00,19.483,19.483
2025-08-19T09:20:23-04:00,19.591,19.591
2025-08-19T09:21:23-04:00,19.692,19.692
2025-08-19T09:22:23-04:00,19.801,19.801
2025-08-19T09:23:23-04:00,19.909,19.909
2025-08-19T09:24:23-04:00,20.001,20.001
2025-08-19T09:25:23-04:00,20.096,20.096
2025-08-19T09:26:23-04:00,20.193,20.193
2025-08-19T09:27:23-04:00,20.291,20.291
2025-08-19T09:28:23-04:00,20.386,20.386
2025-08-19T09:29:23-04:00,20.483,20.483
2025-08-19T09:30:23-04:00,20.581,20.581
2025-08-19T09:31:23-04:00,20.677,20.677
2025-08-19T09:32:23-04:00,20.78,20.78
2025-08-19T09:33:23-04:00,20.876,20.876
2025-08-19T09:34:23-04:00,20.971,20.971
2025-08-19T09:35:23-04:00,21.063,21.063
2025-08-19T09:36:23-04:00,21.165,21.165
2025-08-19T09:37:23-04:00,21.268,21.268
2025-08-19T09:38:23-04:00,21.362,21.362
2025-08-19T09:39:23-04:00,21.466,21.466
2025-08-19T09:40:23-04:00,21.562,21.562
2025-08-19T09:41:23-04:00,21.667,21.667
2025-08-19T09:42:23-04:00,21.762,21.762
2025-08-19T09:43:23-04:00,21.862,21.862
2025-08-19T09:44:23-04:00,21.961,21.961
2025-08-19T09:45:23-04:00,22.053,22.053
2025-08-19T09:46:23-04:00,22.154,22.154
