"","Channel 1 Ave. (C)"
"2025-08-20T09:21:35-04:00","17.439"
"2025-08-20T09:22:35-04:00","17.360"
"2025-08-20T09:23:35-04:00","17.329"
"2025-08-20T09:24:35-04:00","17.300"
"2025-08-20T09:25:35-04:00","17.285"
"2025-08-20T09:26:35-04:00","17.277"
"2025-08-20T09:27:35-04:00","17.255"
"2025-08-20T09:28:35-04:00","17.249"
"2025-08-20T09:29:35-04:00","17.235"
"2025-08-20T09:30:35-04:00","17.230"
"2025-08-20T09:31:35-04:00","17.227"
"2025-08-20T09:32:35-04:00","17.250"
"2025-08-20T09:33:35-04:00","17.278"
"2025-08-20T09:34:35-04:00","17.332"
"2025-08-20T09:35:35-04:00","17.375"
"2025-08-20T09:36:35-04:00","17.438"
"2025-08-20T09:37:35-04:00","17.496"
"2025-08-20T09:38:35-04:00","17.572"
"2025-08-20T09:39:35-04:00","17.639"
"2025-08-20T09:40:35-04:00","17.719"
"2025-08-20T09:41:35-04:00","17.793"
"2025-08-20T09:42:35-04:00","17.875"
"2025-08-20T09:43:35-04:00","17.969"
"2025-08-20T09:44:35-04:00","18.048"
"2025-08-20T09:45:35-04:00","18.141"
"2025-08-20T09:46:35-04:00","18.231"
"2025-08-20T09:47:35-04:00","18.322"
"2025-08-20T09:48:35-04:00","18.417"
"2025-08-20T09:49:35-04:00","18.515"
"2025-08-20T09:50:35-04:00","18.610"
"2025-08-20T09:51:35-04:00","18.717"
"2025-08-20T09:52:35-04:00","18.827"
"2025-08-20T09:53:35-04:00","18.910"
"2025-08-20T09:54:35-04:00","19.043"
"2025-08-20T09:55:35-04:00","19.113"
"2025-08-20T09:56:35-04:00","19.209"
"2025-08-20T09:57:35-04:00","19.326"
"2025-08-20T09:58:35-04:00","19.429"
"2025-08-20T09:59:35-04:00","19.548"
"2025-08-20T10:00:35-04:00","19.651"
"2025-08-20T10:01:35-04:00","19.749"
"2025-08-20T10:02:35-04:00","19.869"
"2025-08-20T10:03:35-04:00","19.970"
"2025-08-20T10:04:35-04:00","20.059"
"2025-08-20T10:05:35-04:00","20.178"
"2025-08-20T10:06:35-04:00","20.286"
"2025-08-20T10:07:35-04:00","20.380"
"2025-08-20T10:08:35-04:00","20.500"
"2025-08-20T10:09:35-04:00","20.615"
"2025-08-20T10:10:35-04:00","20.708"
"2025-08-20T10:11:35-04:00","20.766"
"2025-08-20T10:12:35-04:00","20.889"
"2025-08-20T10:13:35-04:00","20.978"
"2025-08-20T10:14:35-04:00","21.044"
"2025-08-20T10:15:35-04:00","21.198"
"2025-08-20T10:16:35-04:00","21.311"
"2025-08-20T10:17:35-04:00","21.426"
"2025-08-20T10:18:35-04:00","21.506"
"2025-08-20T10:19:35-04:00","21.574"
"2025-08-20T10:20:35-04:00","21.688"
"2025-08-20T10:21:35-04:00","21.803"
"2025-08-20T10:22:35-04:00","21.911"
"2025-08-20T10:23:35-04:00","22.029"
"2025-08-20T10:24:35-04:00","22.106"
"2025-08-20T10:25:35-04:00","22.263"
"2025-08-20T10:26:35-04:00","22.351"
"2025-08-20T10:27:35-04:00","22.464"
"2025-08-20T10:28:35-04:00","22.535"
"2025-08-20T10:29:35-04:00","22.661"
"2025-08-20T10:30:35-04:00","22.758"
"2025-08-20T10:31:35-04:00","22.829"
"2025-08-20T10:32:35-04:00","22.887"
"2025-08-20T10:33:35-04:00","22.980"
"2025-08-20T10:34:35-04:00","23.152"
"2025-08-20T10:35:35-04:00","23.244"
