"Input","Trial","Treatment","date","temperature","Heartrate","sd","std_err","confidence","recording_length","time","start","end"
0,"Trial1","17up",2025-08-08 09:20:00,17.982,122.2410866,0.047562723,0.008542517,"Good",16,2025-08-08 09:22:24,136,152
0,"Trial1","17up",2025-08-08 09:30:00,18.148,102.295082,0.074239736,0.014287444,"Good",16,2025-08-08 09:31:04,56,72
0,"Trial1","17up",2025-08-08 09:40:00,19.013,163.3711507,0.085804673,0.01308509,"Good",16,2025-08-08 09:41:04,56,72
0,"Trial1","17up",2025-08-08 09:50:00,19.803,165.2459016,0.09787967,0.01492651,"Good",16,2025-08-08 09:50:14,6,22
0,"Trial1","17up",2025-08-08 10:00:00,20.776,164.5536869,0.129201873,0.017582148,"Good",20,2025-08-08 10:01:36,86,106
0,"Trial1","17up",2025-08-08 10:10:00,21.978,200.7434944,0.05788791,0.008535107,"Good",14,2025-08-08 10:13:37,210,224
0,"Trial1","17up",2025-08-08 10:20:00,22.888,123.3333333,0.210471205,0,"Good",18,2025-08-08 10:22:29,140,158
0,"Trial1","17up",2025-08-08 10:30:00,23.816,80,0.238235417,0,"Good",18,2025-08-08 10:31:13,64,82
0,"Trial1","17up",2025-08-08 10:40:00,24.787,83.33333333,0.242916969,0,"Good",18,2025-08-08 10:40:59,50,68
0,"Trial1","17up",2025-08-08 10:50:00,25.771,96.66666667,0.242555835,0,"Good",18,2025-08-08 10:50:59,50,68
0,"Trial1","17up",2025-08-08 11:00:00,26.784,103.3333333,0.203669298,0,"Good",18,2025-08-08 11:00:59,50,68
0,"Trial1","17up",2025-08-08 11:10:00,27.767,83.33333333,0.172741377,0,"Good",18,2025-08-08 11:10:59,50,68
0,"Trial1","17up",2025-08-08 11:20:00,28.773,86.25,0.112215248,0,"Good",16,2025-08-08 11:21:04,56,72
0,"Trial1","17up",2025-08-08 11:30:00,29.772,101.25,0.156195166,0,"Good",16,2025-08-08 11:31:50,102,118
0,"Trial1","17up",2025-08-08 11:40:00,30.784,96.66666667,0.106019425,0,"Good",18,2025-08-08 11:41:41,92,110
0,"Trial1","17up",2025-08-08 11:50:00,31.894,116.6666667,0.193084118,0,"Good",18,2025-08-08 11:51:59,110,128
0,"Trial1","17up",2025-08-08 12:00:00,32.664,136.6666667,0.160610813,0,"Good",18,2025-08-08 12:00:31,22,40
0,"Trial1","17up",2025-08-08 12:10:00,33.555,173.3333333,0.194695856,0,"Good",18,2025-08-08 12:10:41,32,50
0,"Trial1","17up",2025-08-08 12:20:00,34.801,130,0.100455976,0,"Good",18,2025-08-08 12:22:09,120,138
0,"Trial1","17up",2025-08-08 12:30:00,35.785,210,0.235044322,0,"Good",18,2025-08-08 12:31:57,108,126
0,"Trial1","17up",2025-08-08 12:40:00,36.721,323.3333333,0.040581233,0,"Good",18,2025-08-08 12:42:01,112,130
0,"Trial1","17up",2025-08-08 12:50:00,37.59,296.6666667,0.122148788,0,"Good",18,2025-08-08 12:51:31,82,100
0,"Trial1","17up",2025-08-08 13:00:00,38.502,300,0.092203331,0,"Good",16,2025-08-08 13:01:40,92,108
0,"Trial1","17up",2025-08-08 13:10:00,39.343,251.25,0.090193795,0,"Good",16,2025-08-08 13:10:32,24,40
0,"Trial1","17up",2025-08-08 13:20:00,40.309,176.25,0.133302759,0,"Good",16,2025-08-08 13:20:14,6,22
0,"Trial1","17up",2025-08-08 13:30:00,41.363,193.3333333,0.17131916,0,"Good",18,2025-08-08 13:31:35,86,104
0,"Trial1","17up",2025-08-08 13:40:00,42.451,0,0,0,"Zero",24,2025-08-08 13:42:34,142,166
0,"Trial1","17up",2025-08-08 13:50:00,43.701,5.979638301,0.172298441,0,"Discard",581.975,2025-08-08 13:54:50.9875,0,581.975
0,"Trial1","17up",2025-08-08 14:00:00,44.65,5.979638301,0.160771706,0,"Discard",581.975,2025-08-08 14:04:50.9875,0,581.975
0,"Trial1","17up",2025-08-08 14:10:00,45.63,5.979638301,0.164497976,0,"Discard",581.975,2025-08-08 14:14:50.9875,0,581.975
0,"Trial1","17up",2025-08-08 14:20:00,46.601,5.979638301,0.182880074,0,"Discard",581.975,2025-08-08 14:24:50.9875,0,581.975
0,"Trial1","17up",2025-08-08 14:30:00,47.56,5.979638301,0.189549273,0,"Discard",581.975,2025-08-08 14:34:50.9875,0,581.975
0,"Trial1","17up",2025-08-08 14:40:00,48.048,174,0.171128185,0,"Discard",20,2025-08-08 14:40:32,22,42
1,"Trial1","17up",2025-08-08 09:20:00,17.843,120.4755614,0.029282858,0.00468901,"Good",20,2025-08-08 09:21:24,74,94
1,"Trial1","17up",2025-08-08 09:30:00,17.951,124.0310078,0.091733659,0.014326391,"Good",20,2025-08-08 09:30:48,38,58
1,"Trial1","17up",2025-08-08 09:40:00,18.956,192.8571429,0.203480741,0,"Good",14,2025-08-08 09:42:21,134,148
1,"Trial1","17up",2025-08-08 09:50:00,19.711,140.4682274,0.073357362,0.012226227,"Good",16,2025-08-08 09:51:08,60,76
1,"Trial1","17up",2025-08-08 10:00:00,20.697,187.5,0.113160386,0,"Good",16,2025-08-08 10:02:02,114,130
1,"Trial1","17up",2025-08-08 10:10:00,21.591,159.4095941,0.095607913,0.015717844,"Good",14,2025-08-08 10:11:05,58,72
1,"Trial1","17up",2025-08-08 10:20:00,22.584,222.8571429,0.085202876,0,"Good",14,2025-08-08 10:21:05,58,72
1,"Trial1","17up",2025-08-08 10:30:00,23.581,295.7142857,0.131536735,0,"Good",14,2025-08-08 10:31:31,84,98
1,"Trial1","17up",2025-08-08 10:40:00,24.548,204.5016077,0.017780001,0.002419552,"Good",16,2025-08-08 10:40:58,50,66
1,"Trial1","17up",2025-08-08 10:50:00,25.621,227.1428571,0.018203641,0,"Good",14,2025-08-08 10:51:53,106,120
1,"Trial1","17up",2025-08-08 11:00:00,26.617,225,0.137345704,0,"Good",16,2025-08-08 11:02:04,116,132
1,"Trial1","17up",2025-08-08 11:10:00,27.504,251.25,0.134093543,0,"Good",16,2025-08-08 11:11:14,66,82
1,"Trial1","17up",2025-08-08 11:20:00,28.47,262.5,0.118535001,0,"Good",16,2025-08-08 11:21:50,102,118
1,"Trial1","17up",2025-08-08 11:30:00,29.537,258.75,0.208580157,0,"Good",16,2025-08-08 11:32:32,144,160
1,"Trial1","17up",2025-08-08 11:40:00,30.414,228.75,0.182853158,0,"Good",16,2025-08-08 11:41:06,58,74
1,"Trial1","17up",2025-08-08 11:50:00,31.395,202.5,0.201539704,0,"Good",16,2025-08-08 11:50:52,44,60
1,"Trial1","17up",2025-08-08 12:00:00,32.396,210,0.171023243,0,"Good",16,2025-08-08 12:01:28,80,96
1,"Trial1","17up",2025-08-08 12:10:00,33.213,206.25,0.157688273,0,"Good",16,2025-08-08 12:10:46,38,54
1,"Trial1","17up",2025-08-08 12:20:00,34.256,192.8571429,0.161744522,0,"Good",14,2025-08-08 12:21:33,86,100
1,"Trial1","17up",2025-08-08 12:30:00,35.307,285,0.272321069,0,"Good",16,2025-08-08 12:32:12,124,140
1,"Trial1","17up",2025-08-08 12:40:00,36.275,371.25,0.278847175,0,"Good",16,2025-08-08 12:42:10,122,138
1,"Trial1","17up",2025-08-08 12:50:00,37.241,471.4285714,0.508446879,0,"Good",14,2025-08-08 12:52:47,160,174
1,"Trial1","17up",2025-08-08 13:00:00,38.202,457.5,0.434141242,0,"Good",16,2025-08-08 13:01:58,110,126
1,"Trial1","17up",2025-08-08 13:10:00,39.144,371.25,0.205370193,0,"Good",16,2025-08-08 13:12:00,112,128
1,"Trial1","17up",2025-08-08 13:20:00,39.991,296.25,0.197634499,0,"Good",16,2025-08-08 13:21:40,92,108
1,"Trial1","17up",2025-08-08 13:30:00,40.978,287.1428571,0.191496265,0,"Good",14,2025-08-08 13:31:39,92,106
1,"Trial1","17up",2025-08-08 13:40:00,41.936,148.0373832,0.192207324,0.032963284,"Good",14,2025-08-08 13:41:39,92,106
1,"Trial1","17up",2025-08-08 13:50:00,42.769,0,0,0,"Zero",16,2025-08-08 13:50:30,22,38
1,"Trial1","17up",2025-08-08 14:00:00,44.174,143.7193706,0.160893598,0.004309306,"Discard",581.975,2025-08-08 14:04:50.9875,0,581.975
1,"Trial1","17up",2025-08-08 14:10:00,45.12,151.8908919,0.155366911,0.00404953,"Discard",581.975,2025-08-08 14:14:50.9875,0,581.975
1,"Trial1","17up",2025-08-08 14:20:00,46.102,157.7019007,0.154909019,0.003961621,"Discard",581.975,2025-08-08 14:24:50.9875,0,581.975
1,"Trial1","17up",2025-08-08 14:30:00,47.027,159.1126016,0.145032119,0.003692166,"Discard",581.975,2025-08-08 14:34:50.9875,0,581.975
1,"Trial1","17up",2025-08-08 14:40:00,47.789,155.5891654,0.157239656,0.005117715,"Discard",364.275,2025-08-08 14:43:02.1375,0,364.275
0,"Trial1","17up",2025-08-08 09:20:00,18.089,144.4126074,0.092715205,0.014138936,"Good",18,2025-08-08 09:28:35,506,524
0,"Trial1","17up",2025-08-08 09:30:00,18.512,75.88235294,0.357141052,0,"Good",34,2025-08-08 09:36:57,400,434
0,"Trial1","17up",2025-08-08 09:40:00,19.631,72.35294118,0.274627416,0,"Good",34,2025-08-08 09:48:11,474,508
0,"Trial1","17up",2025-08-08 09:50:00,20.422,189,0.083990348,0,"Good",20,2025-08-08 09:57:28,438,458
