Input,Trial,Treatment,time,heart_rate,sd,std_err,confidence,start,end
0,Trial21,17up,8/26/25 9:25,38.04878049,0.699140956,0.18685328,Discard,0,23.775
0,Trial21,17up,8/26/25 9:25,159.3512418,0.006009388,0.00052305,Good,264,314
0,Trial21,17up,8/26/25 9:35,148.427673,0.009419636,0.000863497,Good,154,202
0,Trial21,17up,8/26/25 9:45,158.7401575,0.009277469,0.000823242,Good,252,300
0,Trial21,17up,8/26/25 9:55,167.611336,0.011693121,0.000991798,Good,132,182
0,Trial21,17up,8/26/25 10:05,178.7100157,0.012419202,0.001038546,Good,86,134
0,Trial21,17up,8/26/25 10:15,178.6694826,0.012430149,0.001043115,Good,86,134
0,Trial21,17up,8/26/25 10:25,190.6882591,0.012353172,0.000982766,Good,10,60
0,Trial21,17up,8/26/25 10:35,208.1833061,0.012599387,0.001714559,Good,260,276
0,Trial21,17up,8/26/25 10:45,214.9951315,0.011288654,0.001170579,Good,208,234
0,Trial21,17up,8/26/25 10:55,233.603708,0.011214764,0.001216412,Good,408,430
0,Trial21,17up,8/26/25 11:05,238.961039,0.007372098,0.001075331,Good,196,208
0,Trial21,17up,8/26/25 11:15,251.961824,0.01254758,0.001254758,Good,216,240
0,Trial21,17up,8/26/25 11:25,262.0985011,0.01045532,0.001449892,Good,252,264
0,Trial21,17up,8/26/25 11:35,273.1296101,0.010282758,0.00098491,Good,316,340
0,Trial21,17up,8/26/25 11:45,277.1830986,0.011927968,0.001309265,Good,92,110
0,Trial21,17up,8/26/25 11:55,289.5238095,0.01138801,0.001061937,Good,320,344
0,Trial21,17up,8/26/25 12:05,298.273878,0.007156674,0.000685485,Good,152,174
0,Trial21,17up,8/26/25 12:15,302.4277457,0.012853893,0.001225571,Good,48,70
0,Trial21,17up,8/26/25 12:25,325.5172414,0.013395931,0.001228003,Good,294,316
0,Trial21,17up,8/26/25 12:35,328.7671233,0.014281014,0.003116373,Good,12,16
0,Trial21,17up,8/26/25 12:45,209.1917591,0.036910347,0.004932353,Good,294,310
0,Trial21,17up,8/26/25 12:55,0,0,0,Zero,370,550
0,Trial21,17up,8/26/25 13:05,180.5128205,0.152052957,0.016117581,Discard,450,480
0,Trial21,17up,8/26/25 13:15,153.5353535,0.158000111,0.018005784,Discard,450,480
0,Trial21,17up,8/26/25 13:25,156.8760611,0.149013474,0.016872453,Discard,450,480
0,Trial21,17up,8/26/25 13:35,143.5551811,0.17628017,0.020774817,Discard,450,480
0,Trial21,17up,8/26/25 13:45,158.3756345,0.188684653,0.021228682,Discard,450,480
