"","Channel 1 Ave. (C)","Channel 2 Ave. (C)"
"2025-08-12T10:05:42-04:00","17.705","17.706"
"2025-08-12T10:06:42-04:00","17.720","17.666"
"2025-08-12T10:07:42-04:00","17.718","17.663"
"2025-08-12T10:08:42-04:00","17.690","17.645"
"2025-08-12T10:09:42-04:00","17.660","17.723"
"2025-08-12T10:10:42-04:00","17.662","17.615"
"2025-08-12T10:11:42-04:00","17.640","17.581"
"2025-08-12T10:12:42-04:00","17.655","17.716"
"2025-08-12T10:13:42-04:00","17.680","17.517"
"2025-08-12T10:14:42-04:00","17.672","17.598"
"2025-08-12T10:15:42-04:00","17.673","17.655"
"2025-08-12T10:16:42-04:00","17.662","17.402"
"2025-08-12T10:17:42-04:00","17.658","17.574"
"2025-08-12T10:18:42-04:00","17.647","17.632"
"2025-08-12T10:19:42-04:00","17.669","17.525"
"2025-08-12T10:20:42-04:00","17.737","17.791"
"2025-08-12T10:21:42-04:00","17.800","17.944"
"2025-08-12T10:22:42-04:00","17.853","17.919"
"2025-08-12T10:23:42-04:00","17.905","17.985"
"2025-08-12T10:24:42-04:00","18.023","18.061"
"2025-08-12T10:25:42-04:00","18.122","18.188"
"2025-08-12T10:26:42-04:00","18.224","18.210"
"2025-08-12T10:27:42-04:00","18.295","18.318"
"2025-08-12T10:28:42-04:00","18.433","18.349"
"2025-08-12T10:29:42-04:00","18.531","18.525"
"2025-08-12T10:30:42-04:00","18.632","18.467"
"2025-08-12T10:31:42-04:00","18.740","18.553"
"2025-08-12T10:32:42-04:00","18.828","18.786"
"2025-08-12T10:33:42-04:00","18.895","18.976"
"2025-08-12T10:34:42-04:00","19.030","19.032"
"2025-08-12T10:35:42-04:00","19.190","19.124"
"2025-08-12T10:36:42-04:00","19.278","19.359"
"2025-08-12T10:37:42-04:00","19.369","19.211"
"2025-08-12T10:38:42-04:00","19.481","19.574"
"2025-08-12T10:39:42-04:00","19.613","19.623"
"2025-08-12T10:40:42-04:00","19.682","19.796"
"2025-08-12T10:41:42-04:00","19.791","19.912"
"2025-08-12T10:42:42-04:00","19.907","19.906"
"2025-08-12T10:43:42-04:00","20.011","20.110"
"2025-08-12T10:44:42-04:00","20.139","20.120"
"2025-08-12T10:45:42-04:00","20.259","20.037"
"2025-08-12T10:46:42-04:00","20.342","20.326"
"2025-08-12T10:47:42-04:00","20.437","20.292"
"2025-08-12T10:48:42-04:00","20.567","20.574"
"2025-08-12T10:49:42-04:00","20.655","20.623"
"2025-08-12T10:50:42-04:00","20.707","20.675"
"2025-08-12T10:51:42-04:00","20.769","20.708"
"2025-08-12T10:52:42-04:00","20.859","20.821"
"2025-08-12T10:53:42-04:00","20.996","20.967"
"2025-08-12T10:54:42-04:00","21.099","20.758"
"2025-08-12T10:55:42-04:00","21.177","21.002"
"2025-08-12T10:56:42-04:00","21.242","21.256"
"2025-08-12T10:57:42-04:00","21.317","21.153"
"2025-08-12T10:58:42-04:00","21.413","21.383"
"2025-08-12T10:59:42-04:00","21.497","21.435"
"2025-08-12T11:00:42-04:00","21.602","21.556"
"2025-08-12T11:01:42-04:00","21.713","21.638"
"2025-08-12T11:02:42-04:00","21.831","21.729"
"2025-08-12T11:03:42-04:00","21.937","21.809"
"2025-08-12T11:04:42-04:00","22.051","21.906"
"2025-08-12T11:05:42-04:00","22.166","21.899"
"2025-08-12T11:06:42-04:00","22.251","22.170"
"2025-08-12T11:07:42-04:00","22.358","22.343"
"2025-08-12T11:08:42-04:00","22.471","22.375"
"2025-08-12T11:09:42-04:00","22.604","22.552"
"2025-08-12T11:10:42-04:00","22.725","22.648"
"2025-08-12T11:11:42-04:00","22.830","22.709"
"2025-08-12T11:12:42-04:00","22.920","22.839"
"2025-08-12T11:13:42-04:00","23.039","22.956"
"2025-08-12T11:14:42-04:00","23.142","23.019"
"2025-08-12T11:15:42-04:00","23.225","23.138"
"2025-08-12T11:16:42-04:00","23.318","23.293"
"2025-08-12T11:17:42-04:00","23.424","23.343"
"2025-08-12T11:18:42-04:00","23.561","23.402"
"2025-08-12T11:19:42-04:00","23.645","23.567"
"2025-08-12T11:20:42-04:00","23.761","23.618"
"2025-08-12T11:21:42-04:00","23.864","23.755"
"2025-08-12T11:22:42-04:00","23.990","23.779"
"2025-08-12T11:23:42-04:00","24.102","23.968"
"2025-08-12T11:24:42-04:00","24.219","24.071"
"2025-08-12T11:25:42-04:00","24.317","24.106"
"2025-08-12T11:26:42-04:00","24.480","24.328"
"2025-08-12T11:27:42-04:00","24.590","24.450"
"2025-08-12T11:28:42-04:00","24.704","24.559"
"2025-08-12T11:29:42-04:00","24.831","24.596"
"2025-08-12T11:30:42-04:00","24.977","24.775"
"2025-08-12T11:31:42-04:00","25.121","24.888"
"2025-08-12T11:32:42-04:00","25.235","24.975"
"2025-08-12T11:33:42-04:00","25.362","25.114"
"2025-08-12T11:34:42-04:00","25.457","25.192"
"2025-08-12T11:35:42-04:00","25.536","25.246"
"2025-08-12T11:36:42-04:00","25.633","25.349"
"2025-08-12T11:37:42-04:00","25.756","25.514"
"2025-08-12T11:38:42-04:00","25.914","25.626"
"2025-08-12T11:39:42-04:00","25.991","25.678"
"2025-08-12T11:40:42-04:00","26.054","25.873"
"2025-08-12T11:41:42-04:00","26.173","25.974"
"2025-08-12T11:42:42-04:00","26.256","25.999"
"2025-08-12T11:43:42-04:00","26.351","26.117"
"2025-08-12T11:44:42-04:00","26.454","26.256"
"2025-08-12T11:45:42-04:00","26.575","26.381"
"2025-08-12T11:46:42-04:00","26.664","26.279"
"2025-08-12T11:47:42-04:00","26.756","26.575"
"2025-08-12T11:48:42-04:00","26.862","26.816"
"2025-08-12T11:49:42-04:00","26.976","26.913"
"2025-08-12T11:50:42-04:00","27.088","26.889"
"2025-08-12T11:51:42-04:00","27.190","27.058"
"2025-08-12T11:52:42-04:00","27.242","27.146"
"2025-08-12T11:53:42-04:00","27.342","27.202"
"2025-08-12T11:54:42-04:00","27.436","27.165"
"2025-08-12T11:55:42-04:00","27.480","27.373"
"2025-08-12T11:56:42-04:00","27.605","27.407"
"2025-08-12T11:57:42-04:00","27.703","27.640"
"2025-08-12T11:58:42-04:00","27.762","27.755"
"2025-08-12T11:59:42-04:00","27.831","27.779"
"2025-08-12T12:00:42-04:00","27.966","27.620"
