Input,Trial,Treatment,date,temperature,Heartrate,sd,std_err,confidence,recording_length,time,start,end
1,Trial5,17up,8/12/25 10:05,17.723,185.7142857,0.009302605,0.000969864,Good,30,8/12/25 10:09,260,290
1,Trial5,17up,8/12/25 10:15,17.525,190.0589722,0.012150514,0.001246616,Good,30,8/12/25 10:19,260,290
1,Trial5,17up,8/12/25 10:25,18.525,203.3557047,0.010012369,0.000991372,Good,30,8/12/25 10:29,260,290
1,Trial5,17up,8/12/25 10:35,19.623,212.6582278,0.023695354,0.002301496,Good,30,8/12/25 10:39,260,290
1,Trial5,17up,8/12/25 10:45,20.623,228.1833616,0.015733615,0.001480094,Good,30,8/12/25 10:49,260,290
1,Trial5,17up,8/12/25 10:55,21.435,242.4448217,0.008230626,0.00075135,Good,30,8/12/25 10:59,260,290
1,Trial5,17up,8/12/25 11:05,22.552,244.2748092,0.009539007,0.000867182,Good,30,8/12/25 11:09,260,290
1,Trial5,17up,8/12/25 11:15,23.567,243.2708688,0.010757521,0.000982023,Good,30,8/12/25 11:19,260,290
1,Trial5,17up,8/12/25 11:25,24.888,223.3104799,0.023623943,0.002411109,Good,26,8/12/25 11:31,392,418
1,Trial5,17up,8/12/25 11:35,25.974,241.8786693,0.015923115,0.00156139,Good,26,8/12/25 11:41,392,418
1,Trial5,17up,8/12/25 11:45,26.913,266.8913227,0.010007732,0.00086778,Good,30,8/12/25 11:49,260,290
1,Trial5,17up,8/12/25 11:55,27.779,272.7272727,0.013590493,0.001165375,Good,30,8/12/25 11:59,260,290
1,Trial5,17up,8/12/25 12:05,28.693,276.142132,0.012734724,0.001088001,Good,30,8/12/25 12:09,260,290
1,Trial5,17up,8/12/25 12:15,29.664,293.1760741,0.016663074,0.001379046,Good,30,8/12/25 12:19,260,290
1,Trial5,17up,8/12/25 12:25,30.661,286.1460957,0.020595865,0.001722313,Good,30,8/12/25 12:29,268,298
1,Trial5,17up,8/12/25 12:35,31.359,319.7301855,0.012852308,0.001019254,Good,30,8/12/25 12:36,104,134
1,Trial5,17up,8/12/25 12:45,32.314,225.8373206,0.050407457,0.006507575,Good,16,8/12/25 12:49,232,248
1,Trial5,17up,8/12/25 12:55,33.277,72.84991568,0.097570571,0.022384224,Good,16,8/12/25 12:59,232,248
1,Trial5,17up,8/12/25 13:05,34.174,26.93602694,0.468663881,0.141307477,Good,26,8/12/25 13:07,134,160
1,Trial5,17up,8/12/25 13:15,35.588,0,0,0,Zero,18,8/12/25 13:21,402,420
1,Trial5,17up,8/12/25 13:25,36.252,-1,-1,-1,Discard,581.975,29:51.0,0,581.975
1,Trial5,17up,8/12/25 13:35,37.06,-1,-1,-1,Discard,581.975,39:51.0,0,581.975
1,Trial5,17up,8/12/25 13:45,38.191,-1,-1,-1,Discard,581.975,49:51.0,0,581.975
1,Trial5,17up,8/12/25 13:55,39.226,-1,-1,-1,Discard,581.975,59:51.0,0,581.975
1,Trial5,17up,8/12/25 14:05,39.986,-1,-1,-1,Discard,581.975,09:51.0,0,581.975
1,Trial5,17up,8/12/25 14:15,40.6,118.8118812,0.102164084,0.041708313,Discard,3.675,15:01.8,0,3.675
0,Trial5,17up,8/12/25 10:05,17.72,163.7852593,0.012663347,0.001452586,Good,28,8/12/25 10:06,68,96
0,Trial5,17up,8/12/25 10:15,17.662,167.032967,0.01213954,0.001383429,Good,28,8/12/25 10:16,68,96
0,Trial5,17up,8/12/25 10:25,18.224,157.0909091,0.011276161,0.001319775,Good,28,8/12/25 10:26,68,96
0,Trial5,17up,8/12/25 10:35,19.278,133.0868762,0.017807032,0.002279957,Good,28,8/12/25 10:36,68,96
0,Trial5,17up,8/12/25 10:45,20.342,147.6584022,0.014657248,0.001777452,Good,28,8/12/25 10:46,68,96
0,Trial5,17up,8/12/25 10:55,21.242,151.6483516,0.016581196,0.001981832,Good,28,8/12/25 10:56,68,96
0,Trial5,17up,8/12/25 11:05,22.251,169.2307692,0.013282899,0.001503992,Good,28,8/12/25 11:06,68,96
0,Trial5,17up,8/12/25 11:15,23.318,127.0072993,0.042583678,0.005543923,Good,28,8/12/25 11:16,68,96
0,Trial5,17up,8/12/25 11:25,24.317,136.7387033,0.031474166,0.004097587,Good,26,8/12/25 11:25,24,50
0,Trial5,17up,8/12/25 11:35,25.536,139.5073892,0.038220002,0.004934181,Good,26,8/12/25 11:35,24,50
0,Trial5,17up,8/12/25 11:45,26.575,187.6832845,0.024421714,0.002713524,Good,26,8/12/25 11:45,24,50
0,Trial5,17up,8/12/25 11:55,27.48,171.2609971,0.067891502,0.007892227,Good,26,8/12/25 11:55,24,50
0,Trial5,17up,8/12/25 12:05,28.443,161.7443013,0.023503848,0.002829531,Good,26,8/12/25 12:05,24,50
0,Trial5,17up,8/12/25 12:15,29.332,205.8479532,0.032581984,0.003453683,Good,26,8/12/25 12:15,24,50
0,Trial5,17up,8/12/25 12:25,30.322,259.8425197,0.017572678,0.001667925,Good,26,8/12/25 12:25,24,50
0,Trial5,17up,8/12/25 12:35,31.277,265.8823529,0.019033622,0.001782662,Good,26,8/12/25 12:35,24,50
0,Trial5,17up,8/12/25 12:45,32.284,210.678733,0.044422906,0.004487391,Good,28,8/12/25 12:47,114,142
0,Trial5,17up,8/12/25 12:55,33.254,63.86898669,0.062118064,0.011954627,Good,26,8/12/25 12:56,106,132
0,Trial5,17up,8/12/25 10:05,17.655,155.604396,0.01831782,0.00167919,Good,46,8/12/25 10:13,466,512
0,Trial5,17up,8/12/25 10:15,17.853,159.028161,0.01374889,0.0012499,Good,46,8/12/25 10:23,466,512
0,Trial5,17up,8/12/25 10:25,18.828,152.777778,0.08826471,0.00837772,Good,44,8/12/25 10:33,462,506
0,Trial5,17up,8/12/25 10:35,19.907,135.926773,0.02676466,0.00267647,Good,44,8/12/25 10:43,462,506
0,Trial5,17up,8/12/25 10:45,20.859,186.514286,0.01453247,0.00124159,Good,44,8/12/25 10:53,462,506
0,Trial5,17up,8/12/25 10:55,21.831,140.447504,0.01653938,0.00162967,Good,44,8/12/25 11:03,462,506
0,Trial5,17up,8/12/25 11:05,22.92,166.377816,0.02091964,0.00190179,Good,44,8/12/25 11:13,462,506
0,Trial5,17up,8/12/25 11:15,23.99,128.372093,0.02791744,0.0028949,Good,44,8/12/25 11:23,462,506
0,Trial5,17up,8/12/25 11:25,25.235,133.947066,0.02990221,0.00302058,Good,44,8/12/25 11:33,462,506
0,Trial5,17up,8/12/25 11:35,26.256,125.581395,0.07766288,0.00814128,Good,44,8/12/25 11:43,462,506
0,Trial5,17up,8/12/25 11:45,27.242,133.333333,0.06959705,0.00703036,Good,44,8/12/25 11:53,462,506
0,Trial5,17up,8/12/25 11:55,28.155,192.329708,0.01835596,0.00154585,Good,44,8/12/25 12:03,462,506
0,Trial5,17up,8/12/25 12:05,29.054,209.29432,0.04266745,0.00344946,Good,44,8/12/25 12:13,462,506
0,Trial5,17up,8/12/25 12:15,30.03,235.023041,0.02056672,0.00157278,Good,44,8/12/25 12:23,462,506
0,Trial5,17up,8/12/25 12:25,30.914,262.641509,0.01446435,0.00089361,Good,60,8/12/25 12:32,414,474
0,Trial5,17up,8/12/25 12:35,31.722,267.786443,0.04802648,0.00351204,Good,42,8/12/25 12:41,346,388
0,Trial5,17up,8/12/25 12:45,32.768,136.744186,0.2789051,0.03944314,Good,22,8/12/25 12:52,420,442
0,Trial5,17up,8/12/25 12:55,33.629,72.4137931,0.31257856,0.06664197,Good,20,8/12/25 13:01,384,404
0,Trial5,17up,8/12/25 13:05,34.133,0,0,0,Zero,16,8/12/25 13:05,18,34
