"","Channel 1 Ave. (C)","Channel 2 Ave. (C)"
"2025-08-14T09:25:27-04:00","17.462","17.493"
"2025-08-14T09:26:27-04:00","17.442","17.517"
"2025-08-14T09:27:27-04:00","17.414","17.524"
"2025-08-14T09:28:27-04:00","17.445","17.484"
"2025-08-14T09:29:27-04:00","17.403","17.430"
"2025-08-14T09:30:27-04:00","17.406","17.397"
"2025-08-14T09:31:27-04:00","17.443","17.432"
"2025-08-14T09:32:27-04:00","17.412","17.342"
"2025-08-14T09:33:27-04:00","17.402","17.374"
"2025-08-14T09:34:27-04:00","17.434","17.343"
"2025-08-14T09:35:27-04:00","17.453","17.360"
"2025-08-14T09:36:27-04:00","17.455","17.339"
"2025-08-14T09:37:27-04:00","17.525","17.398"
"2025-08-14T09:38:27-04:00","17.587","17.390"
"2025-08-14T09:39:27-04:00","17.657","17.443"
"2025-08-14T09:40:27-04:00","17.740","17.530"
"2025-08-14T09:41:27-04:00","17.808","17.545"
"2025-08-14T09:42:27-04:00","17.886","17.620"
"2025-08-14T09:43:27-04:00","17.971","17.679"
"2025-08-14T09:44:27-04:00","18.043","17.760"
"2025-08-14T09:45:27-04:00","18.101","17.883"
"2025-08-14T09:46:27-04:00","18.182","17.990"
"2025-08-14T09:47:27-04:00","18.325","18.028"
"2025-08-14T09:48:27-04:00","18.406","18.170"
"2025-08-14T09:49:27-04:00","18.506","18.238"
"2025-08-14T09:50:27-04:00","18.596","18.326"
"2025-08-14T09:51:27-04:00","18.697","18.453"
"2025-08-14T09:52:27-04:00","18.848","18.568"
"2025-08-14T09:53:27-04:00","18.948","18.631"
"2025-08-14T09:54:27-04:00","19.036","18.780"
"2025-08-14T09:55:27-04:00","19.117","18.846"
"2025-08-14T09:56:27-04:00","19.252","18.943"
"2025-08-14T09:57:27-04:00","19.350","19.089"
"2025-08-14T09:58:27-04:00","19.467","19.182"
"2025-08-14T09:59:27-04:00","19.563","19.264"
"2025-08-14T10:00:27-04:00","19.685","19.345"
"2025-08-14T10:01:27-04:00","19.780","19.472"
"2025-08-14T10:02:27-04:00","19.840","19.574"
"2025-08-14T10:03:27-04:00","19.945","19.642"
"2025-08-14T10:04:27-04:00","20.049","19.748"
"2025-08-14T10:05:27-04:00","20.155","19.850"
"2025-08-14T10:06:27-04:00","20.279","20.046"
"2025-08-14T10:07:27-04:00","20.383","20.125"
"2025-08-14T10:08:27-04:00","20.483","20.177"
"2025-08-14T10:09:27-04:00","20.536","20.293"
"2025-08-14T10:10:27-04:00","20.637","20.398"
"2025-08-14T10:11:27-04:00","20.742","20.494"
"2025-08-14T10:12:27-04:00","20.826","20.589"
"2025-08-14T10:13:27-04:00","20.941","20.678"
"2025-08-14T10:14:27-04:00","21.037","20.771"
"2025-08-14T10:15:27-04:00","21.125","20.865"
"2025-08-14T10:16:27-04:00","21.235","21.010"
"2025-08-14T10:17:27-04:00","21.319","21.106"
"2025-08-14T10:18:27-04:00","21.417","21.179"
"2025-08-14T10:19:27-04:00","21.549","21.261"
"2025-08-14T10:20:27-04:00","21.628","21.346"
"2025-08-14T10:21:27-04:00","21.721","21.454"
"2025-08-14T10:22:27-04:00","21.827","21.547"
"2025-08-14T10:23:27-04:00","21.917","21.681"
"2025-08-14T10:24:27-04:00","21.999","21.765"
"2025-08-14T10:25:27-04:00","22.122","21.851"
"2025-08-14T10:26:27-04:00","22.239","21.948"
"2025-08-14T10:27:27-04:00","22.330","22.040"
"2025-08-14T10:28:27-04:00","22.415","22.139"
"2025-08-14T10:29:27-04:00","22.533","22.236"
"2025-08-14T10:30:27-04:00","22.648","22.333"
"2025-08-14T10:31:27-04:00","22.730","22.427"
"2025-08-14T10:32:27-04:00","22.809","22.516"
"2025-08-14T10:33:27-04:00","22.931","22.608"
"2025-08-14T10:34:27-04:00","23.021","22.672"
"2025-08-14T10:35:27-04:00","23.137","22.790"
"2025-08-14T10:36:27-04:00","23.228","22.893"
"2025-08-14T10:37:27-04:00","23.336","22.984"
"2025-08-14T10:38:27-04:00","23.425","23.062"
"2025-08-14T10:39:27-04:00","23.514","23.145"
"2025-08-14T10:40:27-04:00","23.638","23.236"
"2025-08-14T10:41:27-04:00","23.727","23.333"
"2025-08-14T10:42:27-04:00","23.811","23.440"
"2025-08-14T10:43:27-04:00","23.920","23.564"
"2025-08-14T10:44:27-04:00","24.043","23.659"
"2025-08-14T10:45:27-04:00","24.132","23.784"
"2025-08-14T10:46:27-04:00","24.229","23.869"
"2025-08-14T10:47:27-04:00","24.312","23.969"
"2025-08-14T10:48:27-04:00","24.407","24.054"
"2025-08-14T10:49:27-04:00","24.542","24.160"
"2025-08-14T10:50:27-04:00","24.641","24.266"
"2025-08-14T10:51:27-04:00","24.706","24.442"
"2025-08-14T10:52:27-04:00","24.778","24.473"
"2025-08-14T10:53:27-04:00","24.873","24.590"
"2025-08-14T10:54:27-04:00","24.944","24.662"
