Input,Trial,Treatment,time,heart_rate,sd,std_err,confidence,start,end
0,Trial9,17up,8/14/25 9:25,158.649789,0.016893898,0.001733277,Good,202,238
0,Trial9,17up,8/14/25 9:35,135.3319058,0.021449426,0.002398119,Good,280,316
0,Trial9,17up,8/14/25 9:45,180.0841515,0.014065087,0.001353414,Good,280,316
0,Trial9,17up,8/14/25 9:55,222.2672065,0.01405434,0.0010361,Good,262,312
0,Trial9,17up,8/14/25 10:05,186.8554095,0.015947696,0.00128095,Good,262,312
0,Trial9,17up,8/14/25 10:15,174.301676,0.021536962,0.001794747,Good,262,312
0,Trial9,17up,8/14/25 10:25,160.2339181,0.033136742,0.002820787,Good,212,264
0,Trial9,17up,8/14/25 10:35,183.8187702,0.036878655,0.002520973,Good,136,206
0,Trial9,17up,8/14/25 10:45,153.8600451,0.095745482,0.008006639,Good,174,230
0,Trial9,17up,8/14/25 10:55,219.4444444,0.015679979,0.001753075,Good,342,364
0,Trial9,17up,8/14/25 11:05,215.3846154,0.017069077,0.001932692,Good,342,364
0,Trial9,17up,8/14/25 11:15,235.2941176,0.023717082,0.002557479,Good,342,364
0,Trial9,17up,8/14/25 11:25,193.5979513,0.043658241,0.00545728,Good,302,322
0,Trial9,17up,8/14/25 11:35,268.8689408,0.016970307,0.000959218,Good,420,490
0,Trial9,17up,8/14/25 11:45,264.6759416,0.014991688,0.000830313,Good,250,324
0,Trial9,17up,8/14/25 11:55,295.2830189,0.014904086,0.000841086,Good,274,338
0,Trial9,17up,8/14/25 12:05,317.9617834,0.012502334,0.001220103,Good,500,520
0,Trial9,17up,8/14/25 12:15,340,0.012406847,0,Good,210,222
0,Trial9,17up,8/14/25 12:25,315.2734129,0.01360585,0.000938893,Good,322,362
0,Trial9,17up,8/14/25 12:35,293.5622318,0.018372878,0.002412477,Good,176,188
0,Trial9,17up,8/14/25 12:45,222.737819,0.026971328,0.002996814,Good,260,282
0,Trial9,17up,8/14/25 12:55,186.3829787,0.030885431,0.003590358,Good,410,434
0,Trial9,17up,8/14/25 13:05,206.3348416,0.038428684,0.003922111,Good,86,114
0,Trial9,17up,8/14/25 13:15,0,0,0,Zero,528,542
0,Trial9,17up,8/14/25 13:25,135.8782564,0.194435209,0.005355712,Discard,0,581.975
0,Trial9,17up,8/14/25 13:35,138.0567498,0.186420219,0.005094514,Discard,0,581.975
0,Trial9,17up,8/14/25 13:45,141.2420974,0.184857327,0.007341622,Discard,0,269.375
1,Trial9,17up,8/14/25 9:25,191.3043478,0.012519577,0.001327073,Good,458,486
1,Trial9,17up,8/14/25 9:35,182.1138211,0.014603553,0.001583978,Good,458,486
1,Trial9,17up,8/14/25 9:45,168.4594348,0.012924276,0.001463386,Good,458,486
1,Trial9,17up,8/14/25 9:55,224.7272727,0.011722691,0.001149504,Good,458,486
1,Trial9,17up,8/14/25 10:05,210.678733,0.013286066,0.001342095,Good,420,448
1,Trial9,17up,8/14/25 10:15,260.6334842,0.011178382,0.001016217,Good,420,448
1,Trial9,17up,8/14/25 10:25,203.2786885,0.012367814,0.001275643,Good,420,448
1,Trial9,17up,8/14/25 10:35,261.1060743,0.010892828,0.000990257,Good,420,448
1,Trial9,17up,8/14/25 10:45,221.9401632,0.027415575,0.002701337,Good,420,448
1,Trial9,17up,8/14/25 10:55,213.6239782,0.01992286,0.002002323,Good,396,424
1,Trial9,17up,8/14/25 11:05,243.6657682,0.013033798,0.001220727,Good,396,424
1,Trial9,17up,8/14/25 11:15,227.027027,0.012872506,0.001210944,Good,362,392
1,Trial9,17up,8/14/25 11:25,261.4864865,0.013422816,0.001177259,Good,446,476
1,Trial9,17up,8/14/25 11:35,277.9374472,0.02162428,0.001840781,Good,446,476
1,Trial9,17up,8/14/25 11:45,259.2405063,0.011841345,0.001042572,Good,446,476
1,Trial9,17up,8/14/25 11:55,228.8607595,0.014606079,0.001367985,Good,446,476
1,Trial9,17up,8/14/25 12:05,209.4915254,0.021799189,0.002137586,Good,446,476
1,Trial9,17up,8/14/25 12:15,199.3220339,0.026602837,0.002673686,Good,446,476
1,Trial9,17up,8/14/25 12:25,186.8263473,0.024978623,0.002604202,Good,446,476
1,Trial9,17up,8/14/25 12:35,183.5174172,0.035400553,0.003710986,Good,446,476
1,Trial9,17up,8/14/25 12:45,170.1265823,0.045756338,0.004962972,Good,446,476
1,Trial9,17up,8/14/25 12:55,195.0889077,0.036656261,0.003721879,Good,446,476
1,Trial9,17up,8/14/25 13:05,231.0810811,0.039284076,0.003663259,Good,446,476
1,Trial9,17up,8/14/25 13:15,287.8268711,0.051390441,0.004439458,Good,512,540
1,Trial9,17up,8/14/25 13:25,0,0,0,Zero,486,502
1,Trial9,17up,8/14/25 9:25,151.75644,0.01093945,0.00147508,Good,72,94
1,Trial9,17up,8/14/25 9:35,193.006993,0.01631394,0.00194989,Good,72,94
1,Trial9,17up,8/14/25 9:45,207.852194,0.01498498,0.00171889,Good,72,94
1,Trial9,17up,8/14/25 9:55,221.538462,0.0136629,0.00134625,Good,92,120
1,Trial9,17up,8/14/25 10:05,219.178082,0.01087985,0.00108259,Good,92,120
1,Trial9,17up,8/14/25 10:15,210.678733,0.01278666,0.00129165,Good,92,120
1,Trial9,17up,8/14/25 10:25,263.783784,0.00932086,0.00084043,Good,92,120
1,Trial9,17up,8/14/25 10:35,226.728111,0.01518976,0.00166729,Good,16,38
1,Trial9,17up,8/14/25 10:45,252.631579,0.01361762,0.00141208,Good,16,38
1,Trial9,17up,8/14/25 10:55,218.937644,0.01092151,0.00122106,Good,16,38
1,Trial9,17up,8/14/25 11:05,235.023041,0.04174293,0.00450126,Good,16,38
