Date,ID,CL,WW,Reaction,Notes
25-Jun,CI32,109,225.22,runner,"8, 34, 155 all died - not recorded on checkout"
25-Jun,CM24,67,82.72,fighter,
25-Jun,CM29,82,118.49,runner,
25-Jun,CI25,97,144.71,runner,
25-Jun,CI26,112,236.33,runner,
25-Jun,CM23,59,49.04,runner,
25-Jun,CM22,64,64.8,runner,
25-Jun,CI27,96,144.27,runner,
25-Jun,CI28,90,94.08,fighter,
25-Jun,CM30,49,25.22,runner,
25-Jun,CI33,102,178,fighter,
25-Jun,CM31,68,77.08,runner,
25-Jun,HS20,20,2.79,runner,
25-Jun,HS21,18,2.88,runner,
25-Jun,HS18,23,6.1,runner,
25-Jun,HS16,23,5.03,runner,
25-Jun,HS19,20,3.91,runner,
25-Jun,HS17,23,6.68,runner,
26-Jun,CM1,71,88.08,runner,
26-Jun,CM2,70,91.98,runner,
26-Jun,CM3,71,91.34,runner,
26-Jun,CM4,74,105.13,runner,
26-Jun,CM5,68,77.77,fighter,
26-Jun,CM6,66,72.45,runner,
26-Jun,CI7,104,181.27,runner,
26-Jun,CI36,106,194.81,runner,
26-Jun,HS10,23,6.23,runner,
26-Jun,HS11,23,5.74,runner,
26-Jun,HS12,21,2.07,runner,
26-Jun,HS13,24,7.31,runner,
26-Jun,HS14,21,4.79,runner,
26-Jun,HS15,21,4.34,runner,
26-Jun,CI9,105,171.28,runner,
26-Jun,CI35,106,202.12,non-reactive,
7/17/25,HS37,20,5.34,runner,
7/17/25,HS38,22,5.12,runner,
7/17/25,HS39,24,5.32,runner,
7/17/25,CM40,77,123.77,runner,
7/17/25,CM41,75,103.82,fighter,
7/17/25,CM42,67,73.39,fighter,
7/17/25,CI43,107,207.68,fighter,
7/17/25,CI44,74,59.4,runner,
7/17/25,CI45,121,275.85,non-reactive,
7/17/25,HS46,24,4.86,runner,
7/17/25,HS47,21,3.95,runner,
7/17/25,HS48,21,4.63,runner,
7/17/25,CM49,68,78.96,fighter,
7/17/25,CM50,60,49.26,runner,
7/17/25,CM51,66,83.86,fighter,
7/17/25,CI52,103,171.98,runner,
7/17/25,CI53,112,176.65,runner,
7/17/25,CI54,91,114.57,non-reactive,
7/17/25,HS55,20,3.92,runner,
7/17/25,HS56,22,5,runner,
7/17/25,HS57,21,4.24,runner,
7/17/25,CM58,71,86.46,runner,
7/17/25,CM59,74,94.74,fighter,
7/17/25,CM60,69,72.82,runner,
7/17/25,CI61,85,113.78,fighter,
7/17/25,CI62,114,218.45,fighter,
7/17/25,CI63,105,215.14,non-reactive,
7/17/25,HS64,24,7.48,runner,
7/17/25,HS65,21,4.74,runner,
7/17/25,HS66,16,3.02,runner,
7/17/25,CM67,79,127.18,fighter,
7/17/25,CM68,60,91.02,runner,
7/17/25,CM69,76,104.37,non-reactive,
7/17/25,CI70,114,237.22,runner,
7/17/25,CI71,93,122.7,runner,
7/17/25,CI72,90,130.31,fighter,
8/1/25,HS73,25,6.97,runner,
8/1/25,HS74,16,2.01,runner,
8/1/25,HS75,20,4.07,runner,
8/1/25,CM76,64,67.73,runner,
8/1/25,CM78,68,70.86,runner,
8/1/25,CI79,107,208.13,non-reactive,
8/1/25,CI80,100,154.32,non-reactive,
8/1/25,HS82,19,3.18,runner,
8/1/25,HS83,22,4.68,runner,
8/1/25,HS84,19,3.15,runner,
8/1/25,CM85,66,62.55,runner,
8/1/25,CM86,64,62.55,runner,
8/1/25,CM87,70,85.89,fighter,
8/1/25,CI89,109,222.72,runner,
8/8/25,HS91,20,5.38,runner,
8/8/25,HS91,28,10.99,runner,
8/8/25,HS93,22,9.06,runner,
8/8/25,CM94,85,144.61,runner,
8/8/25,CM95,55,45.52,runner,
8/8/25,CM96,57,45.17,fighter,
8/8/25,CI97,121,331.48,non-reactive,
8/8/25,CI98,117,219.62,fighter,
8/8/25,CI99,102,187.3,runner,
8/8/25,HS100,22,6.68,runner,
8/8/25,HS101,20,5.55,runner,
8/8/25,HS102,21,5.73,runner,
8/8/25,CM103,52,34.29,runner,
8/8/25,CM104,60,58.19,runner,
8/8/25,CM105,75,117.58,runner,
8/8/25,CI106,102,179.64,non-reactive,
8/8/25,CI107,95,144.54,fighter,
8/8/25,CI108,110,201.86,fighter,
8/7/25,HS109,27,8.85,runner,
8/7/25,HS110,22,5.54,runner,
8/7/25,HS111,24,6.61,runner,
8/7/25,CM112,81,129.68,runner,
8/7/25,CM113,79,116.49,runner,
8/7/25,CM114,71,94.93,runner,
8/7/25,CI115,84,91.58,fighter,
8/7/25,CI116,106,200.91,runner,
8/7/25,CI117,137,381.93,runner,
8/7/25,HS118,19,3.22,runner,
8/7/25,HS119,26,8.57,runner,
8/7/25,HS120,17,2.76,runner,
8/7/25,CM121,53,32.01,runner,
8/7/25,CM122,46,20.92,runner,
8/7/25,CM123,56,45.32,runner,
8/7/25,CI124,89,103.27,fighter,
8/7/25,CI125,116,249.21,runner,
8/7/25,CI126,124,331.92,runner,
7/25/25,HS127,25,6.98,runner,
7/25/25,HS128,25,6.97,runner,
7/25/25,HS129,22,4.7,runner,
7/25/25,CM130,80,126.2,fighter,
7/25/25,CM131,64,65.15,fighter,
7/25/25,CM132,57,49.05,runner,
7/25/25,CI133,122,292.2,non-reactive,
7/25/25,CI134,120,291.58,fighter,
7/25/25,CI135,125,327.58,fighter,
7/25/25,HS136,19,4.81,runner,
7/25/25,HS137,23,7.15,runner,
7/25/25,HS138,21,3.97,runner,
7/25/25,CM139,68,75.6,runner,
7/25/25,CM140,57,50.59,runner,
7/25/25,CM141,67,64.72,runner,
7/25/25,CI142,108,218.53,runner,
7/25/25,CI143,113,210.54,fighter,
7/25/25,CI144,112,217.72,runner,
8/28/25,HS145,20,3.7,runner,
