ID,System,CL,WW,Trial,Species,Condition,Period,Date,Notes
CM1,1,71,87.84,22,Carcinus,,1,6/3/25,
CM3,1,71,91.28,22,Carcinus,,1,6/3/25,
CM4,1,73,104,22,Carcinus,,1,6/13/25,Replaced
CM5,1,67,77.25,22,Carcinus,,1,6/3/25,
CM6,1,64,71.95,22,Carcinus,,1,6/3/25,
CI7,1,105,184.46,22,Irroratus,,1,6/3/25,
CI9,1,104,172.56,22,Irroratus,,1,6/3/25,
HS13,1,25,7.21,22,Hemigrapsus,,1,6/3/25,
HS14,1,21,4.79,22,Hemigrapsus,,1,6/3/25,
HS15,1,21,4.39,22,Hemigrapsus,,1,6/3/25,
HS16,2,19,4.8,16,Hemigrapsus,,1,6/3/25,
HS17,2,22,6.64,16,Hemigrapsus,,1,6/3/25,
HS18,2,22,6.03,16,Hemigrapsus,,1,6/3/25,
CM22,2,64,64.26,16,Carcinus,,1,6/3/25,
CM23,2,58,47.19,16,Carcinus,Missing one leg,1,6/3/25,
CM24,2,69,82.17,16,Carcinus,"Chipped claw, missing 2 legs",1,6/3/25,
CI25,2,88,146.21,16,Irroratus,,1,6/3/25,
CI26,2,110,238.78,16,Irroratus,,1,6/3/25,
CI27,2,93,146.94,16,Irroratus,,1,6/3/25,
CI28,2,89,95.51,16,Irroratus,,1,6/3/25,
CM29,2,82,119.56,16,Carcinus,"Chipped Claw, missing one leg",1,6/3/25,
CM30,2,47,25.51,16,Carcinus,"Chipped Claw, missing one leg",1,6/3/25,
CM31,2,66,76.27,16,Carcinus,,1,6/3/25,
CI32,2,109,230.03,16,Irroratus,,1,6/3/25,
CI33,2,101,182.29,16,Irroratus,,1,6/4/25,
CM2,1,68,91.62,22,Carcinus,2 Chipped Claws,1,6/4/25,
CI34,1,107,213.54,22,Irroratus,,1,6/4/25,
CI35,1,106,203.86,22,Irroratus,,1,6/4/25,
CI8,1,114,220.58,22,Irroratus,,1,6/4/25,
HS10,1,23,6.3,22,Hemigrapsus,,1,6/4/25,
HS11,1,22,5.67,22,Hemigrapsus,,1,6/4/25,
HS12,1,17,2.19,22,Hemigrapsus,,1,6/4/25,
HS19,2,18,3.97,16,Hemigrapsus,,1,6/4/25,
HS20,2,17,2.8,16,Hemigrapsus,Missing one leg,1,6/4/25,
